Rk,I,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
72,I,as Outfield,1916,2436,,31112,27497,3482,7397,1111,449,192,2747,1221,940,2564,2789,.269,.333,.363,.696,9982,305,201,620,230,90,677,.291,,
73,I,as P,1916,2432,,7638,6963,429,1160,147,61,10,377,26,23,366,1975,.167,.210,.210,.420,1459,106,27,252,30,1,107,.230,,
74,I,at Def. Pos.,1916,2436,,39430,34778,3651,8677,1288,478,137,3079,1254,1017,3095,3461,.249,.314,.326,.640,11332,486,311,953,293,157,921,.271,,
75,I,at Off. Pos.,1916,2436,,43216,38238,4535,9894,1491,565,223,3972,1412,1174,3440,3883,.259,.322,.345,.667,13184,479,282,911,345,128,939,.281,,
76,I,as RF,1916,2436,,10339,9131,1096,2383,352,148,61,938,330,279,850,936,.261,.325,.352,.677,3214,117,58,212,88,30,247,.282,,
77,I,as SS,1916,2436,,9894,8722,896,2044,279,114,25,686,278,260,744,901,.234,.298,.301,.599,2626,131,71,296,61,14,239,.257,,
78,I,as LF,1916,2436,,10404,9217,1190,2453,386,147,57,914,390,298,855,935,.266,.330,.358,.689,3304,98,64,196,72,24,196,.289,,
79,I,as 1B,1916,2436,,10044,8937,992,2378,362,143,61,1021,305,229,712,864,.266,.323,.359,.682,3209,100,82,218,95,35,219,.286,,
80,I,as 2B,1916,2436,,10104,8862,933,2180,339,112,21,788,335,286,797,814,.246,.312,.317,.629,2806,123,90,271,84,23,241,.266,,
81,I,as 1B,1917,2458,,10250,9147,990,2432,347,148,44,1004,255,202,747,740,.266,.324,.351,.674,3207,140,73,205,78,34,236,.283,,
82,I,as 2B,1917,2458,,10214,8895,962,2114,265,105,28,782,299,247,791,704,.238,.303,.301,.603,2673,132,71,378,79,13,232,.253,,
83,I,as Outfield,1917,2458,,31383,27721,3425,7428,1070,488,167,2836,1038,794,2567,2671,.268,.331,.360,.691,9975,339,195,642,257,99,701,.289,,
84,I,as P,1917,2456,,7853,7109,442,1237,170,56,9,397,24,18,392,1840,.174,.218,.217,.436,1546,123,19,295,38,0,154,.232,,
85,I,as 3B,1917,2458,,10142,8901,987,2269,333,107,29,880,280,250,775,728,.255,.316,.326,.643,2903,138,61,328,76,22,219,.273,,
86,I,as C,1917,2458,,9207,8195,648,1911,276,78,18,770,154,79,689,740,.233,.296,.292,.589,2397,161,72,182,69,79,220,.252,,
87,I,as CF,1917,2458,,10476,9267,1203,2564,377,143,54,959,399,283,814,860,.277,.337,.366,.703,3389,106,72,241,82,47,220,.298,,
